crosshead_mean,crosshead_min,crosshead_max,crosshead_median,crosshead_standard,reaction_mean,reaction_min,reaction_max,reaction_median,reaction_standard,spray_mean,spray_min,spray_max,spray_median,spray_standard,player_name,is_pro
7.301398248689929,0.9823800585998038,17.12585624453983,4.803043839209663,5.630333061990638,7.571428571428571,1.0,45.0,4.5,10.775065698933187,62.785714285714285,7,282,29.0,75.99076877342084,HeavyGod,0
9.12281846595574,0.1666890263349369,29.128309807553563,3.1697797251722766,9.43327553775016,12.615384615384615,1.0,48.0,6.0,13.736747244237664,82.23076923076923,6,263,13.0,105.26680669477904,ZywOo,0
2.5059027524335136,1.4331310877507477,3.8178267228576974,1.8630913241505394,0.968381865163603,8.88888888888889,2.0,22.0,5.0,6.822258414670556,12.666666666666666,6,44,7.0,11.642832797715322,FL4MUS,0
3.220162521776853,0.9028733011984836,10.539206064425283,1.074653983896149,3.708154760811099,11.0,1.0,22.0,8.0,7.5099933422074345,57.4,9,248,10.0,95.30288558065804,zorte,0
8.372839664841006,2.386057234941769,13.76411264639893,8.387094833923664,3.7513717708519483,15.25,4.0,43.0,13.0,11.486405007660142,24.375,12,45,24.0,11.201980851617272,flameZ,0
7.47874995720812,0.5322902695241459,18.38235429447891,5.1865180159927,5.827804050157829,14.272727272727273,3.0,42.0,8.0,13.025087046234413,15.363636363636363,6,38,13.0,8.936876892686914,ropz,0
6.077800452833842,0.49967704426341886,20.058162530400654,3.4446919333290444,6.05687066417658,14.846153846153847,2.0,45.0,13.0,12.544359160417965,29.0,6,100,19.0,24.409960136103333,apEX,0
5.334173601809718,2.002129497509132,13.330815217127844,3.8162796395225964,3.8242580501687726,20.1,2.0,67.0,18.0,17.518276170902205,17.4,6,35,19.0,9.707728879609277,mezii,0
6.406799323807282,0.7770768550763487,15.753665700723854,3.5372586812073212,5.190590123450611,6.285714285714286,2.0,15.0,5.5,3.9897828696482693,25.428571428571427,6,74,17.0,19.981113531512293,d1Ledez,0
5.29478484792281,0.40590054866317626,21.341083964897127,3.1076542331173007,5.169659093035518,14.928571428571429,3.0,42.0,12.0,10.911751762692012,13.857142857142858,6,26,12.5,7.49149177264394,Boombl4,0
3.0404614398797327,0.6065179198591211,12.467612627291157,1.8711621720482434,3.05491087996417,8.461538461538462,3.0,20.0,7.0,4.684103799273331,15.538461538461538,6,32,13.0,8.607826354905924,Magnojez,0
3.368476037341668,0.5678623372941045,8.405599761779593,3.027890801531694,2.3566020411451962,13.0,1.0,51.0,6.0,16.753109164172084,32.77777777777778,7,132,20.0,36.10410188385118,ZywOo,0
7.14892166265263,0.6311807822244904,25.73769438965564,3.0998359300867744,8.52560609565768,4.428571428571429,1.0,9.0,3.0,2.821202522590214,64.28571428571429,17,172,35.0,55.553614478561634,Magnojez,0
4.506595011651621,0.40638233191796724,15.671722711449522,1.8831516515687003,4.881204098504735,7.111111111111111,1.0,27.0,6.0,7.519521918083836,24.444444444444443,6,64,13.0,20.992650095323633,ropz,0
4.875798293674191,0.7217213972409583,11.360993930452764,3.8726568126850065,3.4104064238514877,8.785714285714286,1.0,36.0,3.5,9.89356624586021,36.5,6,115,32.0,27.881765674771337,Boombl4,0
3.5518703807243917,2.0495636144368032,5.248109776448836,3.249058257729069,1.2022861505443618,5.666666666666667,1.0,12.0,3.5,4.570436400267363,11.333333333333334,6,23,10.0,5.7638721552635275,FL4MUS,0
8.787755398834863,0.8769265085791652,25.147234812894297,2.6295710582599416,9.341972408846603,16.4,3.0,64.0,5.0,23.84617369726221,66.0,6,147,23.0,61.61168720299745,zorte,0
5.2312454588730875,0.6728943126328404,17.13335814519552,2.214788406775806,5.732083444635205,28.545454545454547,1.0,183.0,9.0,50.47837275212503,28.09090909090909,6,86,21.0,21.673001828645305,d1Ledez,0
3.9887399798845182,0.21760588102725667,15.520985672472042,2.7701052205429826,3.9222054001739215,10.642857142857142,1.0,39.0,5.0,12.186685608583204,19.071428571428573,5,69,12.5,15.750121476693831,apEX,0
11.252202992833988,0.5591815009956947,24.34505367910033,13.722664825154322,8.497806436715692,22.875,1.0,98.0,9.5,30.043458106549586,22.875,6,81,15.5,22.82234376658103,mezii,0
4.631050006276934,1.019140045442745,16.96580597924301,2.5457660707128555,4.495997099509709,8.416666666666666,3.0,23.0,6.5,5.648869110027442,34.333333333333336,6,115,16.5,35.24280856508964,flameZ,0
6.298788695500032,1.0656943090981057,13.219719970496131,4.939525976374661,4.1676099804870095,17.583333333333332,3.0,105.0,7.5,27.354031797078026,18.25,6,39,13.0,9.97601289761262,KSCERATO,0
2.2644286932727034,1.0116241069721459,4.561495429784008,2.040686419628265,1.0256364465243268,10.3,3.0,18.0,10.5,5.367494760127857,22.2,6,57,18.0,14.729562111617573,NiKo,0
5.851203003930591,0.4005626901348312,15.541430589553785,3.8679227477513543,5.155911009735102,12.125,2.0,25.0,9.5,8.146126380065558,36.625,10,162,21.0,47.74656401250251,molodoy,0
3.8037366316176224,0.18130822512890998,16.020803015877565,1.1559048188214445,5.617030110393575,24.0,1.0,61.0,13.0,25.403411844343534,22.0,6,51,18.0,16.812693617224657,yuurih,0
10.294367993829628,0.4102162287076641,22.970008991934492,8.898623377338179,8.099149580288355,43.5,2.0,111.0,30.5,44.48876262608346,51.5,13,153,20.0,58.823889704778956,m0NESY,0
8.0438613997749,0.5911604051207391,27.23059837734861,5.060202103043254,8.94240941175779,16.866666666666667,2.0,50.0,10.0,14.07061555946371,29.8,6,168,12.0,44.58729265908244,kyousuke,0
6.610841827956058,0.5471545941425193,23.221291618755405,1.8395176130339583,7.252475125727586,13.11111111111111,3.0,63.0,5.0,18.39954374098834,14.555555555555555,6,29,11.0,8.616664875707242,TeSeS,0
8.902728088094767,2.442242560270992,24.867530205060994,5.938526554367656,6.96359460455825,33.375,6.0,82.0,34.5,24.24323359207678,50.875,10,149,32.5,47.15251186310227,karrigan,0
5.630620277796322,0.725507198492247,8.649812223643524,5.621205122665157,2.8398812511782907,5.6,3.0,10.0,4.0,2.5768197453450252,15.2,8,28,13.0,6.910861017268399,FalleN,0
3.798961980365462,0.41259432397074103,10.011290088743204,2.8854764343073693,3.4915690818759035,8.444444444444445,2.0,25.0,4.0,7.804715257260421,17.0,6,38,13.0,11.095544651395493,YEKINDAR,0
9.34141844266663,1.4058347222579006,29.233983426241508,5.25266282126787,9.36880678615867,18.076923076923077,4.0,72.0,7.0,22.686700741459617,93.92307692307692,11,262,72.0,77.96297103158014,sh1ro,0
5.290407737985712,1.078652489954784,12.80133097922117,4.31827696323841,3.4875086348038176,9.5,2.0,16.0,9.5,4.173328008516305,33.083333333333336,8,175,19.0,44.11246674379276,zont1x,0
6.555397212053469,0.9392030635105513,25.96594177099725,4.388785379722426,6.001019508201235,13.411764705882353,1.0,60.0,11.0,12.705065333208927,39.294117647058826,6,115,26.0,31.925952389649385,magixx,0
5.1359472943983135,0.5417637366534014,16.82706016920689,3.5643270056981726,4.401729021754939,14.666666666666666,3.0,38.0,11.0,10.354816378006046,18.38888888888889,5,70,13.0,15.95528087043036,tN1R,0
5.327944248410476,0.9875454151787799,14.59708384196959,3.11262974799087,4.550591242593931,23.58823529411765,2.0,179.0,9.0,40.72440924863759,25.0,6,134,13.0,32.66766705150883,donk,0
4.952371669640571,1.7537927938251232,15.801117711928937,3.9919896650084983,3.603600817374589,16.46153846153846,3.0,96.0,5.0,25.303132626417213,69.53846153846153,7,258,39.0,72.69072037338994,m0NESY,0
4.59278957527523,1.1833291663858316,29.33555296866554,2.4539953871302096,6.831429314188921,10.6,2.0,28.0,7.0,8.138795979750322,28.933333333333334,5,109,17.0,29.3131748915436,NiKo,0
7.50831241846585,0.059347025446578223,26.346251170910453,2.6677779776020327,8.918849773292306,12.272727272727273,1.0,36.0,5.0,12.863556055001483,18.727272727272727,7,34,19.0,8.592712653394251,karrigan,0
4.67734170872583,0.31527903204183383,27.06182813408816,2.289512170930798,6.824213673105702,8.318181818181818,1.0,32.0,6.5,7.131150383011423,19.90909090909091,6,61,18.0,14.112886087509114,kyousuke,0
5.572654646061775,1.4365407278131954,13.049279073508837,4.245485571725281,4.342058613686819,13.5,2.0,62.0,6.5,17.101169550647697,20.1,6,40,12.5,12.995768542106312,TeSeS,0
4.159700338713797,0.9327219754744344,7.4501916422695516,3.7991002610683235,2.1556153710742816,18.25,4.0,37.0,14.0,12.407155193677559,49.5,6,141,35.0,44.6710196883841,donk,0
1.8660138346871697,0.4532715557058549,3.6971876544270947,1.6141032874198218,0.9388077204488484,5.444444444444445,1.0,13.0,5.0,3.5311663515712675,21.11111111111111,5,46,14.0,12.485052791633544,TeSeS,0
6.436729905225491,1.198936191141636,17.821855152667087,2.2454175988574545,6.736018584112563,21.0,3.0,60.0,15.0,18.04755622554715,28.428571428571427,10,70,20.0,19.53646512007111,kyousuke,0
